customer_id,satisfaction_score,survey_date,tier,points
C084,1.0,2023-12-01,,
C054,9.0,2023-12-02,Gold,493.0
C071,2.0,2023-12-03,Gold,8502.0
C046,10.0,2023-12-04,Silver,5877.0
C045,3.0,2023-12-05,Bronze,4904.0
C040,6.0,2023-12-06,,
C023,1.0,2023-12-07,,
C081,1.0,2023-12-08,,
C011,2.0,2023-12-09,,
C001,6.0,2023-12-10,Silver,4185.0
C019,9.0,2023-12-11,,
C031,9.0,2023-12-12,Silver,6231.0
C074,1.0,2023-12-13,,
C034,2.0,2023-12-14,Bronze,7856.0
C091,2.0,2023-12-15,Platinum,2297.0
C005,2.0,2023-12-16,Silver,2745.0
C077,4.0,2023-12-17,Bronze,5710.0
C078,4.0,2023-12-18,Platinum,5476.0
C013,8.0,2023-12-19,Gold,938.0
C032,3.0,2023-12-20,Gold,6311.0
C056,6.0,2023-12-21,,
C089,2.0,2023-12-22,Platinum,938.0
C027,2.0,2023-12-23,Gold,6326.0
C043,5.0,2023-12-24,Platinum,7928.0
C070,2.0,2023-12-25,Gold,2496.0
C016,9.0,2023-12-26,,
C041,5.0,2023-12-27,,
C097,6.0,2023-12-28,,
C010,2.0,2023-12-29,Gold,4177.0
C073,5.0,2023-12-30,Gold,6501.0
C012,10.0,2023-12-31,Silver,4930.0
C048,1.0,2024-01-01,,
C086,3.0,2024-01-02,Platinum,5187.0
C029,3.0,2024-01-03,Bronze,3423.0
C094,8.0,2024-01-04,,
C006,6.0,2024-01-05,Gold,7206.0
C067,9.0,2024-01-06,,
C066,6.0,2024-01-07,Bronze,9892.0
C036,4.0,2024-01-08,Silver,3746.0
C017,2.0,2024-01-09,Gold,872.0
C050,7.0,2024-01-10,,
C035,6.0,2024-01-11,,
C008,4.0,2024-01-12,,
C096,2.0,2024-01-13,Bronze,7471.0
C028,4.0,2024-01-14,,
C020,2.0,2024-01-15,Silver,1278.0
C082,6.0,2024-01-16,Platinum,8427.0
C026,2.0,2024-01-17,,
C063,5.0,2024-01-18,Gold,4529.0
C014,10.0,2024-01-19,,
C009,,,Platinum,738.0
C083,,,Gold,8144.0
C064,,,Platinum,3645.0
C051,,,Gold,7194.0
C024,,,Platinum,2398.0
C061,,,Gold,6833.0
C025,,,Silver,6080.0
C039,,,Bronze,9020.0
C057,,,Bronze,4640.0
C076,,,Platinum,7348.0
C030,,,Gold,3273.0
C092,,,Platinum,180.0
C042,,,Bronze,245.0
C022,,,Silver,9615.0
C085,,,Silver,924.0
C088,,,Gold,2449.0
C098,,,Gold,2140.0
C021,,,Bronze,6740.0
C090,,,Platinum,8892.0
C038,,,Bronze,7329.0
C060,,,Gold,8073.0
C002,,,Silver,8831.0
C075,,,Bronze,1366.0
C080,,,Bronze,9742.0
C015,,,Silver,8352.0
C055,,,Platinum,6207.0
C052,,,Bronze,6940.0
C007,,,Platinum,463.0
C099,,,Silver,4712.0
C044,,,Gold,1746.0
